Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"WEST MIFFLIN, PA",Pittsburgh Institute of Aeronautics,Two,Private Nonprofit,Suburban,Small,73%,$31k,$67k
"NORTHFIELD, VT",Norwich University,Four,Private Nonprofit,Rural,Medium,61%,$26k,$66k
"TOLEDO, OH",Mercy College of Ohio,Four,Private Nonprofit,City,Small,68%,$16k,$65k
"TROY, NY",Samaritan Hospital School of Nursing,Two,Private Nonprofit,City,Small,86%,$25k,$64k
"AMES, IA",Iowa State University,Four,Public,City,Large,74%,$18k,$63k
"ANNVILLE, PA",Lebanon Valley College,Four,Private Nonprofit,Suburban,Small,71%,$28k,$63k
"DULUTH, MN",University of Minnesota-Duluth,Four,Public,City,Medium,64%,$18k,$63k
"ELIZABETHTOWN, PA",Elizabethtown College,Four,Private Nonprofit,Suburban,Small,70%,$26k,$62k
"WINONA, MN",Winona State University,Four,Public,Town,Medium,65%,$18k,$59k
"DE PERE, WI",Saint Norbert College,Four,Private Nonprofit,Suburban,Small,75%,$26k,$58k
"FORT KENT, ME",University of Maine at Fort Kent,Four,Public,Rural,Small,54%,$11k,$51k
"NEWARK, NJ",New Jersey Institute of Technology,Four,Public,City,Medium,82%,$16k,$84k
"BRUNSWICK, ME",Bowdoin College,Four,Private Nonprofit,Town,Small,94%,$21k,$83k
"WASHINGTON, DC",American University,Four,Private Nonprofit,City,Medium,79%,$42k,$77k
"WILLIAMSBURG, VA",William & Mary,Four,Public,Suburban,Medium,91%,$23k,$73k
"MEMPHIS, TN",Baptist Health Sciences University,Four,Private Nonprofit,City,Small,56%,$13k,$73k
"CHARLESTON, SC",Citadel Military College of South Carolina,Four,Public,City,Medium,75%,$21k,$72k
"CHESTER, PA",Widener University,Four,Private Nonprofit,Suburban,Medium,65%,$30k,$71k
"GENEVA, NY",Hobart William Smith Colleges,Four,Private Nonprofit,Town,Small,75%,$31k,$69k
"FORT WORTH, TX",Texas Christian University,Four,Private Nonprofit,City,Medium,81%,$34k,$68k
"NEWBURGH, NY",Mount Saint Mary College,Four,Private Nonprofit,City,Small,62%,$24k,$68k
"SAN DIEGO, CA",National University,Four,Private Nonprofit,City,Medium,40%,$31k,$68k
"PEORIA, IL",Bradley University,Four,Private Nonprofit,City,Medium,77%,$24k,$67k
"ROMEOVILLE, IL",Lewis University,Four,Private Nonprofit,Suburban,Medium,69%,$18k,$66k
"JOLIET, IL",University of St Francis,Four,Private Nonprofit,Suburban,Small,67%,$16k,$64k
"MADISON, WI",Edgewood College,Four,Private Nonprofit,City,Small,64%,$26k,$60k
"SIOUX FALLS, SD",Augustana University,Four,Private Nonprofit,City,Small,71%,$25k,$59k
"EAU CLAIRE, WI",University of Wisconsin-Eau Claire,Four,Public,City,Medium,65%,$17k,$59k
"SPRINGFIELD, MO",Cox College,Four,Private Nonprofit,City,Small,75%,,$57k
"OSHKOSH, WI",University of Wisconsin-Oshkosh,Four,Public,City,Medium,59%,$15k,$56k
"RALEIGH, NC",MyComputerCareer at Raleigh,Certificate,Private For-Profit,City,Small,76%,$26k,
"PHILADELPHIA, PA",Thomas Jefferson University,Four,Private Nonprofit,City,Medium,75%,$28k,$77k
"COLLEGEVILLE, MN",Saint Johns University,Four,Private Nonprofit,Rural,Small,77%,$27k,$77k
"AUSTIN, TX",The University of Texas at Austin,Four,Public,City,Large,85%,$20k,$75k
"NEWARK, DE",University of Delaware,Four,Public,Suburban,Large,82%,$17k,$73k
"GENEVA, NY",Marion S Whelan School of Nursing of Geneva General Hospital,Certificate,Private Nonprofit,Town,Small,,$14k,$71k
"HARRISONBURG, VA",James Madison University,Four,Public,City,Large,83%,$22k,$70k
"WASHINGTON, PA",Washington & Jefferson College,Four,Private Nonprofit,Suburban,Small,72%,$26k,$68k
"CANTON, NY",St Lawrence University,Four,Private Nonprofit,Town,Medium,81%,$31k,$67k
"TETERBORO, NJ",Jersey College,Two,Private For-Profit,Suburban,Medium,53%,$28k,$66k
"CINCINNATI, OH",Xavier University,Four,Private Nonprofit,City,Medium,71%,$32k,$65k
"ARLINGTON, TX",The University of Texas at Arlington,Four,Public,City,Large,58%,$15k,$63k
"MINNEAPOLIS, MN",Dunwoody College of Technology,Two,Private Nonprofit,City,Small,64%,$27k,$62k
"HAZARD, KY",Galen College of Nursing-ARH,Two,Private For-Profit,Town,Small,38%,$22k,$61k
"CINCINNATI, OH",Galen College of Nursing-Cincinnati,Two,Private For-Profit,Suburban,Small,48%,$29k,$61k
"LOUISVILLE, KY",Galen College of Nursing-Louisville,Four,Private For-Profit,City,Medium,63%,,$61k
"SAN ANTONIO, TX",Galen College of Nursing-San Antonio,Two,Private For-Profit,City,Medium,60%,$30k,$61k
"SAINT PETERSBURG, FL",Galen College of Nursing-Tampa Bay,Two,Private For-Profit,City,Small,63%,$30k,$61k
"ASHEVILLE, NC",Galen Health Institutes-Asheville,Two,Private For-Profit,City,Small,,$77k,$61k
"BELLEVUE, NE",Bellevue University,Four,Private Nonprofit,Suburban,Medium,49%,$28k,$61k
"JAMESTOWN, ND",University of Jamestown,Four,Private Nonprofit,Town,Small,54%,$20k,$57k
"SAN DIEGO, CA",University of San Diego,Four,Private Nonprofit,City,Medium,81%,$31k,$87k
"BOTHELL, WA",University of Washington-Bothell Campus,Four,Public,Suburban,Medium,79%,$11k,$78k
"COSTA MESA, CA",Pacific College,Two,Private For-Profit,City,Small,71%,$22k,$70k
"UNIVERSITY HEIGHTS, OH",John Carroll University,Four,Private Nonprofit,Suburban,Medium,75%,$29k,$63k
"SAINT LOUIS, MO",Maryville University of Saint Louis,Four,Private Nonprofit,Suburban,Medium,66%,$26k,$62k
"WHEELING, IL",Worsham College of Mortuary Science,Two,Private For-Profit,Suburban,Small,93%,$24k,$62k
"ROUND ROCK, TX",Galen Health Institutes-Austin Campus,Two,Private For-Profit,Suburban,Small,,$27k,$61k
"RICHARDSON, TX",Galen Health Institutes-Dallas,Two,Private For-Profit,City,Small,,,$61k
"GAINESVILLE, FL",Galen Health Institutes-Gainesville,Certificate,Private For-Profit,Suburban,Small,,$49k,$61k
"HOUSTON, TX",Galen Health Institutes-Houston,Two,Private For-Profit,City,Small,,,$61k
"PEMBROKE PINES, FL",Galen Health Institutes-Miami Campus,Two,Private For-Profit,Suburban,Small,,$29k,$61k
"MYRTLE BEACH, SC",Galen Health Institutes-Myrtle Beach,Two,Private For-Profit,City,Small,,$42k,$61k
"NASHVILLE, TN",Galen Health Institutes-Nashville Campus,Two,Private For-Profit,City,Small,,$27k,$61k
"PIKEVILLE, KY",Galen Health Institutes-Pikeville,Two,Private For-Profit,Town,Small,,$35k,$61k
"RICHMOND, VA",Galen Health Institutes-Richmond,Two,Private For-Profit,Suburban,Small,,$41k,$61k
"ROANOKE, VA",Galen Health Institutes-Roanoke,Two,Private For-Profit,Suburban,Small,,,$61k
"DRAPER, UT",Galen Health Institutes-Salt Lake City,Two,Private For-Profit,Suburban,Small,,,$61k
"SARASOTA, FL",Galen Health Institutes-Sarasota,Two,Private For-Profit,Suburban,Small,,$50k,$61k
"WICHITA, KS",Galen Health Institutes-Wichita,Two,Private For-Profit,City,Small,,,$61k
"MONROE, OH",Butler Technology and Career Development Schools,Certificate,Public,Suburban,Small,85%,,$57k
"WELLESLEY, MA",Wellesley College,Four,Private Nonprofit,Suburban,Medium,93%,$25k,$85k
"MEDFORD, MA",Tufts University,Four,Private Nonprofit,Suburban,Medium,94%,$35k,$83k
"MALIBU, CA",Pepperdine University,Four,Private Nonprofit,Suburban,Medium,85%,$45k,$83k
"DAVIDSON, NC",Davidson College,Four,Private Nonprofit,Suburban,Small,92%,$18k,$81k
"SEATTLE, WA",University of Washington-Seattle Campus,Four,Public,City,Large,84%,$13k,$78k
"TACOMA, WA",University of Washington-Tacoma Campus,Four,Public,City,Medium,75%,$10k,$78k
"ROCKVILLE CENTRE, NY",Molloy College,Four,Private Nonprofit,Suburban,Medium,73%,$27k,$78k
"STORRS, CT",University of Connecticut,Four,Public,Town,Large,83%,$23k,$74k
"GROTON, CT",University of Connecticut-Avery Point,Four,Public,Suburban,Small,64%,$12k,$74k
"HARTFORD, CT",University of Connecticut-Hartford Campus,Four,Public,City,Small,64%,$13k,$74k
"STAMFORD, CT",University of Connecticut-Stamford,Four,Public,City,Medium,67%,$14k,$74k
"WATERBURY, CT",University of Connecticut-Waterbury Campus,Four,Public,City,Small,67%,$9k,$74k
"CHICAGO, IL",Loyola University Chicago,Four,Private Nonprofit,City,Medium,72%,$35k,$72k
"TRENTON, NJ",Thomas Edison State University,Four,Public,City,Medium,44%,,$69k
"SPARTANBURG, SC",Wofford College,Four,Private Nonprofit,City,Small,80%,$29k,$69k
"SAINT PAUL, MN",Bethel University,Four,Private Nonprofit,Suburban,Medium,73%,$28k,$64k
"CONCORD, MA",National Aviation Academy of New England,Certificate,Private For-Profit,Suburban,Small,77%,$33k,$59k
"WINONA, MN",Saint Mary's University of Minnesota,Four,Private Nonprofit,Town,Small,67%,$21k,$58k
"CINCINNATI, OH",Cincinnati College of Mortuary Science,Four,Private Nonprofit,Suburban,Small,99%,,$56k
"BATAVIA, NY",Genesee Valley BOCES-Practical Nursing Program,Certificate,Public,Town,Small,74%,$22k,$47k
"REGO PARK, NY",St Paul's School of Nursing-Queens,Two,Private For-Profit,City,Small,68%,$32k,$104k
"SAN FRANCISCO, CA",University of San Francisco,Four,Private Nonprofit,City,Medium,76%,$39k,$90k
"WILLIAMSTOWN, MA",Williams College,Four,Private Nonprofit,Town,Medium,96%,$15k,$89k
"NEW YORK, NY",Barnard College,Four,Private Nonprofit,City,Medium,92%,$39k,$81k
"STOCKTON, CA",University of the Pacific,Four,Private Nonprofit,City,Medium,74%,$26k,$78k
"CHAPEL HILL, NC",University of North Carolina at Chapel Hill,Four,Public,City,Large,91%,$13k,$72k
"CARLISLE, PA",Dickinson College,Four,Private Nonprofit,City,Medium,83%,$32k,$70k
"ATHENS, GA",University of Georgia,Four,Public,City,Large,87%,$14k,$69k
"ARLINGTON, VA",University of Management and Technology,Four,Private For-Profit,City,Small,72%,,$69k
"SAINT PETER, MN",Gustavus Adolphus College,Four,Private Nonprofit,Town,Small,79%,$27k,$66k
"BALDWIN CITY, KS",Baker University,Four,Private Nonprofit,Rural,Small,62%,$23k,$64k
"LITTLE ROCK, AR",Baptist Health College Little Rock,Two,Private Nonprofit,City,Small,74%,$35k,$62k
"PHILADELPHIA, PA",Holy Family University,Four,Private Nonprofit,City,Medium,64%,$12k,$62k
"SIOUX CITY, IA",St Luke's College,Two,Private Nonprofit,City,Small,71%,$13k,$61k
"OCALA, FL",Taylor College,Two,Private For-Profit,City,Small,73%,$28k,$60k
"CONCORD, NC",Cabarrus College of Health Sciences,Two,Private Nonprofit,City,Small,70%,$17k,$59k
"SUNSET HILLS, MO",Applied Technology Services,Certificate,Public,Suburban,Small,51%,$20k,$57k
"SIOUX FALLS, SD",University of Sioux Falls,Four,Private Nonprofit,City,Small,60%,$21k,$55k
"ROCHESTER, NY",Isabella Graham Hart School of Practical Nursing,Certificate,Private Nonprofit,Suburban,Small,77%,$16k,$48k
"SANTA FE SPRINGS, CA",Medical Allied Career Center,Certificate,Private For-Profit,Suburban,Small,68%,$30k,
"RIVERDALE, NY",Manhattan College,Four,Private Nonprofit,City,Medium,74%,$27k,$86k
"BRONX, NY",Fordham University,Four,Private Nonprofit,City,Medium,81%,$43k,$86k
"IMMACULATA, PA",Immaculata University,Four,Private Nonprofit,Suburban,Small,64%,$29k,$76k
"GREENCASTLE, IN",DePauw University,Four,Private Nonprofit,Town,Small,85%,$25k,$71k
"BRADFORD, PA",University of Pittsburgh-Bradford,Four,Public,Town,Small,44%,$17k,$66k
"GREENSBURG, PA",University of Pittsburgh-Greensburg,Four,Public,Suburban,Small,37%,$17k,$66k
"JOHNSTOWN, PA",University of Pittsburgh-Johnstown,Four,Public,Suburban,Small,53%,$19k,$66k
"PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,Four,Public,City,Large,82%,$30k,$66k
"TITUSVILLE, PA",University of Pittsburgh-Titusville,Two,Public,Town,Small,30%,$13k,$66k
"IOWA CITY, IA",University of Iowa,Four,Public,City,Large,72%,$21k,$65k
"VALPARAISO, IN",Valparaiso University,Four,Private Nonprofit,Suburban,Medium,71%,$22k,$63k
"NORMAL, IL",Illinois State University,Four,Public,Suburban,Large,71%,$19k,$62k
"MOON TOWNSHIP, PA",Robert Morris University,Four,Private Nonprofit,Suburban,Medium,63%,$26k,$62k
"NAPERVILLE, IL",North Central College,Four,Private Nonprofit,City,Medium,69%,$23k,$60k
"LATROBE, PA",Saint Vincent College,Four,Private Nonprofit,Suburban,Small,74%,$23k,$60k
"NORTH CANTON, OH",Walsh University,Four,Private Nonprofit,Suburban,Small,64%,$20k,$60k
"MOORHEAD, MN",Concordia College at Moorhead,Four,Private Nonprofit,Suburban,Small,71%,$26k,$59k
"HUNTINGDON, PA",Juniata College,Four,Private Nonprofit,Town,Small,75%,$28k,$57k
"SPRINGFIELD, IL",Capital Area Career Center,Certificate,Public,Rural,Small,,,$55k
"PIKETON, OH",Pike County Joint Vocational School District,Certificate,Public,Rural,Small,,,$45k
"LOS ANGELES, CA",University of Southern California,Four,Private Nonprofit,City,Large,93%,$32k,$92k
"LA JOLLA, CA",University of California-San Diego,Four,Public,City,Large,90%,$12k,$85k
"VESTAL, NY",Binghamton University,Four,Public,Suburban,Medium,82%,$21k,$81k
"ROCHESTER, NY",Rochester Institute of Technology,Four,Private Nonprofit,Suburban,Medium,72%,$30k,$77k
"CAMDEN, NJ",Rutgers University-Camden,Four,Public,City,Medium,74%,$19k,$74k
"NEW BRUNSWICK, NJ",Rutgers University-New Brunswick,Four,Public,City,Large,84%,$24k,$74k
"NEWARK, NJ",Rutgers University-Newark,Four,Public,City,Medium,71%,$19k,$74k
"SEATTLE, WA",City University of Seattle,Four,Private Nonprofit,City,Small,47%,$35k,$69k
"SAN JOSE, CA",Gurnick Academy of Medical Arts,Certificate,Private For-Profit,City,Medium,73%,$31k,$67k
"ADELPHI, MD",University of Maryland Global Campus,Four,Public,Suburban,Large,33%,$15k,$65k
"UTICA, NY",SUNY Polytechnic Institute,Four,Public,Suburban,Small,63%,$14k,$64k
"COLUMBIA, MO",University of Missouri-Columbia,Four,Public,City,Large,72%,$20k,$63k
"UTICA, NY",Utica University,Four,Private Nonprofit,City,Medium,62%,$22k,$63k
"AMHERST, NY",Daemen University,Four,Private Nonprofit,Suburban,Small,63%,$18k,$62k
"BATON ROUGE, LA",Franciscan Missionaries of Our Lady University,Four,Private Nonprofit,City,Small,45%,$18k,$59k
"LIBERTY, MO",William Jewell College,Four,Private Nonprofit,Suburban,Small,68%,$17k,$59k
"CROOKSTON, MN",University of Minnesota-Crookston,Four,Public,Town,Small,52%,$11k,$58k
"DUBUQUE, IA",Clarke University,Four,Private Nonprofit,City,Small,61%,$20k,$55k
"WHITEWATER, WI",University of Wisconsin-Whitewater,Four,Public,Town,Medium,66%,$15k,$55k
"MARION, OH",Tri-Rivers Career Center,Certificate,Public,Rural,Small,72%,,$49k
"HOLLYWOOD, CA",Gnomon,Four,Private For-Profit,City,Small,71%,$46k,$115k
"DALLAS, TX",Southern Methodist University,Four,Private Nonprofit,Suburban,Medium,81%,$42k,$78k
"FAIRFAX, VA",George Mason University,Four,Public,Suburban,Large,75%,$18k,$76k
"SEATTLE, WA",Seattle University,Four,Private Nonprofit,City,Medium,77%,$35k,$75k
"SPRINGFIELD, MA",Western New England University,Four,Private Nonprofit,City,Medium,65%,$31k,$73k
"JACKSONVILLE, FL",Jacksonville University,Four,Private Nonprofit,City,Medium,52%,$26k,$68k
"MANCHESTER, NH",University of New Hampshire at Manchester,Four,Public,City,Small,63%,$13k,$66k
"MANCHESTER, NH",University of New Hampshire College of Professional Studies Online,Four,Public,City,Small,47%,$14k,$66k
"DURHAM, NH",University of New Hampshire-Main Campus,Four,Public,Town,Medium,78%,$23k,$66k
"DALLAS, PA",Misericordia University,Four,Private Nonprofit,Suburban,Small,61%,$25k,$64k
"LOUISVILLE, KY",Bellarmine University,Four,Private Nonprofit,City,Medium,66%,$24k,$62k
"AURORA, IL",Aurora University,Four,Private Nonprofit,Suburban,Medium,67%,$19k,$59k
"DUBUQUE, IA",Loras College,Four,Private Nonprofit,City,Small,68%,$21k,$58k
"ANGOLA, IN",Trine University,Four,Private Nonprofit,Town,Medium,61%,$26k,$57k
"ANGOLA, IN",Trine University-Regional/Non-Traditional Campuses,Four,Private Nonprofit,Town,Small,68%,$22k,$57k
"RICHMOND, VA",Henrico County-Saint Marys Hospital School of Practical Nursing,Certificate,Public,Suburban,Small,,,$57k
"WAVERLY, IA",Wartburg College,Four,Private Nonprofit,Town,Small,68%,$23k,$56k
"ALBANY, NY",Maria College of Albany,Two,Private Nonprofit,City,Small,47%,$16k,$55k
"CEDAR FALLS, IA",University of Northern Iowa,Four,Public,City,Medium,67%,$15k,$55k
"ORANGE CITY, IA",Northwestern College,Four,Private Nonprofit,Town,Small,69%,$24k,$50k
"HAVERFORD, PA",Haverford College,Four,Private Nonprofit,Suburban,Small,92%,$25k,$80k
"BLOOMINGTON, IL",Illinois Wesleyan University,Four,Private Nonprofit,City,Small,83%,$30k,$71k
"SOUTH ORANGE, NJ",Seton Hall University,Four,Private Nonprofit,Suburban,Medium,69%,$29k,$70k
"NEWPORT NEWS, VA",Riverside College of Health Careers,Two,Private Nonprofit,City,Small,86%,$26k,$66k
"AUBURN, AL",Auburn University,Four,Public,City,Large,79%,$24k,$65k
"LOWELL, MA",University of Massachusetts-Lowell,Four,Public,Suburban,Medium,64%,$19k,$65k
"SAINT PAUL, MN",Metropolitan State University,Four,Public,City,Medium,57%,$19k,$65k
"CANTON, IL",Graham Hospital School of Nursing,Certificate,Private Nonprofit,Town,Small,,$20k,$64k
"BOSTON, MA",Simmons University,Four,Private Nonprofit,City,Small,78%,$27k,$63k
"OLATHE, KS",MidAmerica Nazarene University,Four,Private Nonprofit,Suburban,Small,64%,$30k,$63k
"OWINGS MILLS, MD",Stevenson University,Four,Private Nonprofit,Suburban,Medium,63%,$27k,$62k
"NEW HAVEN, CT",Albertus Magnus College,Four,Private Nonprofit,City,Small,59%,$33k,$60k
"NOTRE DAME, IN",Saint Mary's College,Four,Private Nonprofit,Suburban,Small,78%,$29k,$59k
"MENOMONIE, WI",University of Wisconsin-Stout,Four,Public,Town,Medium,60%,$17k,$58k
"PLYMOUTH, WI",Lakeland University,Four,Private Nonprofit,Rural,Small,48%,$22k,$56k
"LINN, MO",State Technical College of Missouri,Two,Public,Rural,Medium,75%,$14k,$56k
"BUFFALO, NY",Trocaire College,Two,Private Nonprofit,City,Small,60%,$21k,$55k
"FOND DU LAC, WI",Marian University,Four,Private Nonprofit,City,Small,56%,$23k,$54k
"WESTON, MA",Regis College,Four,Private Nonprofit,Suburban,Small,70%,$28k,$53k
"MIAMI, FL",American Medical Academy,Certificate,Private For-Profit,Suburban,Small,63%,,
"BOSTON, MA",MCPHS University,Four,Private Nonprofit,City,Medium,74%,$35k,$126k
"SMITHFIELD, RI",Bryant University,Four,Private Nonprofit,Suburban,Medium,84%,$41k,$90k
"SYRACUSE, NY",Syracuse University,Four,Private Nonprofit,City,Large,83%,$41k,$79k
"GARDEN CITY, NY",Adelphi University,Four,Private Nonprofit,Suburban,Medium,73%,$28k,$75k
"GAINESVILLE, FL",University of Florida,Four,Public,City,Large,89%,$6k,$72k
"KINGSTON, RI",University of Rhode Island,Four,Public,Suburban,Medium,72%,$20k,$70k
"WACO, TX",Baylor University,Four,Private Nonprofit,City,Large,79%,$42k,$66k
"TOWSON, MD",Towson University,Four,Public,City,Large,74%,$17k,$64k
"MIDLAND, MI",Northwood University,Four,Private Nonprofit,City,Small,65%,$26k,$63k
"TULSA, OK",University of Tulsa,Four,Private Nonprofit,City,Medium,71%,$24k,$61k
"BISMARCK, ND",University of Mary,Four,Private Nonprofit,Rural,Medium,58%,$19k,$61k
"NEWPORT NEWS, VA",Christopher Newport University,Four,Public,City,Medium,77%,$22k,$61k
"DECORAH, IA",Luther College,Four,Private Nonprofit,Town,Small,74%,$26k,$60k
"MANKATO, MN",Minnesota State University-Mankato,Four,Public,City,Medium,56%,$19k,$57k
"ROCHESTER, NY",Roberts Wesleyan University,Four,Private Nonprofit,Suburban,Small,69%,$23k,$55k
"RIVER FALLS, WI",University of Wisconsin-River Falls,Four,Public,Town,Medium,60%,$15k,$54k
"NORTHPORT, NY",Western Suffolk BOCES,Certificate,Public,Suburban,Small,85%,,$50k
"YANKTON, SD",Mount Marty University,Four,Private Nonprofit,Town,Small,53%,$23k,$48k
"WAYNESBURG, PA",Greene County Career and Technology Center,Certificate,Public,Town,Small,,$18k,$34k
"ANAHEIM, CA",California Career Institute,Certificate,Private For-Profit,City,Small,82%,,
"HAYWARD, CA",Unitek College,Certificate,Private For-Profit,Suburban,Small,74%,$27k,$88k
"SOUTH SAN FRANCISCO, CA",Unitek College,Certificate,Private For-Profit,City,Small,82%,$28k,$88k
"SAN RAFAEL, CA",Dominican University of California,Four,Private Nonprofit,City,Small,74%,$50k,$85k
"STATEN ISLAND, NY",Wagner College,Four,Private Nonprofit,City,Small,73%,$28k,$74k
"GAINESVILLE, FL",University of Florida-Online,Four,Public,City,Medium,59%,$5k,$72k
"EAST LANSING, MI",Michigan State University,Four,Public,City,Large,83%,$21k,$67k
"NEW YORK, NY",CUNY Graduate School and University Center,Four,Public,City,Medium,50%,,$66k
"HIGH POINT, NC",High Point University,Four,Private Nonprofit,City,Medium,70%,$41k,$61k
