Location,University Name,Years,Type,Place,Group,Graduate Rate,Annual Cost,Earnings
"NEW CASTLE, PA",UPMC Jameson School of Nursing,Certificate,Private Nonprofit,Town,Small,,$22k,$70k
"PEORIA, IL",Methodist College,Four,Private Nonprofit,City,Small,66%,$15k,$70k
"ANAHEIM, CA",Brownson Technical School,Certificate,Private For-Profit,City,Small,86%,$33k,$69k
"PITTSBURGH, PA",UPMC St. Margaret School of Nursing,Certificate,Private Nonprofit,Suburban,Small,55%,$19k,$67k
"SAINT JOSEPH, MN",College of Saint Benedict,Four,Private Nonprofit,Suburban,Small,81%,$28k,$63k
"CAPE GIRARDEAU, MO",Southeast Missouri Hospital College of Nursing and Health Sciences,Two,Private Nonprofit,City,Small,75%,$25k,$61k
"INDIANOLA, IA",Simpson College,Four,Private Nonprofit,Town,Small,68%,$22k,$59k
"NASHUA, NH",Rivier University,Four,Private Nonprofit,City,Small,60%,$28k,$52k
"WASHINGTON, DC",Saint Michael College of Allied Health,Certificate,Private For-Profit,City,Small,89%,$40k,
"NASHVILLE, TN",Vanderbilt University,Four,Private Nonprofit,City,Medium,94%,$19k,$92k
"SAN LUIS OBISPO, CA",California Polytechnic State University-San Luis Obispo,Four,Public,Suburban,Large,86%,$16k,$91k
"CASTINE, ME",Maine Maritime Academy,Four,Public,Rural,Small,75%,$21k,$90k
"SAN FRANCISCO, CA",Golden Gate University,Four,Private Nonprofit,City,Small,46%,,$87k
"PHILADELPHIA, PA",Saint Joseph's University,Four,Private Nonprofit,City,Medium,77%,$35k,$87k
"DAYTONA BEACH, FL",Embry-Riddle Aeronautical University-Daytona Beach,Four,Private Nonprofit,City,Medium,65%,$40k,$84k
"PRESCOTT, AZ",Embry-Riddle Aeronautical University-Prescott,Four,Private Nonprofit,City,Medium,66%,$40k,$84k
"DAYTONA BEACH, FL",Embry-Riddle Aeronautical University-Worldwide,Four,Private Nonprofit,City,Medium,34%,$20k,$84k
"EAST SYRACUSE, NY",Pomeroy College of Nursing at Crouse Hospital,Two,Private Nonprofit,Suburban,Small,66%,$22k,$84k
"ROLLA, MO",Missouri University of Science and Technology,Four,Public,Town,Medium,69%,$14k,$83k
"MCMINNVILLE, OR",Linfield University,Four,Private Nonprofit,Town,Small,75%,$27k,$79k
"EASTON, MA",Stonehill College,Four,Private Nonprofit,Suburban,Medium,84%,$30k,$78k
"OMAHA, NE",Creighton University,Four,Private Nonprofit,City,Medium,79%,$32k,$74k
"EWING, NJ",The College of New Jersey,Four,Public,Suburban,Medium,87%,$25k,$73k
"STEUBENVILLE, OH",Trinity Health System School of Nursing,Certificate,Private Nonprofit,City,Small,,$8k,$72k
"ROCHESTER, NY",St. John Fisher University,Four,Private Nonprofit,Suburban,Medium,77%,$28k,$67k
"OMAHA, NE",Nebraska Methodist College of Nursing & Allied Health,Four,Private Nonprofit,City,Small,72%,$19k,$65k
"EAST ORANGE, NJ",Best Care College,Certificate,Private For-Profit,Suburban,Small,62%,,$64k
"PLATTEVILLE, WI",University of Wisconsin-Platteville,Four,Public,Town,Medium,60%,$15k,$62k
"SALT LAKE CITY, UT",Western Governors University,Four,Private Nonprofit,Suburban,Large,51%,$10k,$61k
"NEW YORK, NY",Columbia University in the City of New York,Four,Private Nonprofit,City,Medium,92%,$20k,$102k
"LEXINGTON, VA",Washington and Lee University,Four,Private Nonprofit,Town,Small,94%,$24k,$95k
"HOUSTON, TX",Rice University,Four,Private Nonprofit,City,Medium,94%,$13k,$90k
"EVANSTON, IL",Northwestern University,Four,Private Nonprofit,City,Medium,96%,$27k,$89k
"ANN ARBOR, MI",University of Michigan-Ann Arbor,Four,Public,City,Large,94%,$15k,$84k
"BALTIMORE, MD",Loyola University Maryland,Four,Private Nonprofit,City,Medium,81%,$30k,$83k
"WATERVILLE, ME",Colby College,Four,Private Nonprofit,Town,Medium,89%,$24k,$80k
"WINSTON-SALEM, NC",Wake Forest University,Four,Private Nonprofit,City,Medium,90%,$29k,$78k
"AURORA, CO",Colorado State University Global,Four,Public,City,Medium,47%,$14k,$77k
"FAIRFIELD, CT",Sacred Heart University,Four,Private Nonprofit,Suburban,Medium,70%,$45k,$75k
